description,category,deadline_proximity,vulnerability_score,urgency_label
Road repairs required due to heavy rainfall damage (Updated case),Education,25,88,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,1,43,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,8,92,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,17,92,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,78,Medium
Educational program for refugees requires immediate funding (Updated case),Education,16,9,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,1,8,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,19,49,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,31,88,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,15,57,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,9,56,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,4,61,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,26,90,Low
Educational program for refugees requires immediate funding (Updated case),Infrastructure,24,64,Critical
Road repairs required due to heavy rainfall damage (Updated case),Education,24,6,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,14,77,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,18,79,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,17,77,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,15,27,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,17,87,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,2,60,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,17,51,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,22,1,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Security,30,16,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,23,93,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,3,55,Critical
Educational program for refugees requires immediate funding (Updated case),Infrastructure,16,1,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,18,10,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,1,44,Low
New school materials needed for underprivileged children (Updated case),Security,24,23,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,11,95,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,17,40,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,27,74,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,26,90,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,24,16,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,21,6,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,25,81,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,3,39,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,25,66,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,12,88,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,1,63,Medium
New school materials needed for underprivileged children (Updated case),Infrastructure,28,8,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Security,2,70,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,73,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,13,77,Critical
Educational program for refugees requires immediate funding (Updated case),Education,15,54,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,2,48,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,3,1,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,13,43,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,14,49,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,12,1,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,17,19,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,10,96,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,8,54,Critical
New school materials needed for underprivileged children (Updated case),Logistics,21,54,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,10,84,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,7,90,Critical
New school materials needed for underprivileged children (Updated case),Security,24,40,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,23,30,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,21,60,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,28,71,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,17,42,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,11,73,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,5,55,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,3,1,High
Educational program for refugees requires immediate funding (Updated case),Medical,30,44,Medium
New school materials needed for underprivileged children (Updated case),Logistics,22,52,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,6,56,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,32,17,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,19,33,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,5,54,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,18,75,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,21,1,High
Educational program for refugees requires immediate funding (Updated case),Education,24,30,Critical
